id;maden_adi;maden_turu;2024;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;birim
1;Altın (metal);Metalik;31.68;36.25;31.02;39.29;42.1;39;28;23.09;24.03;27.8;31.26;33.98;29.39;24.4; Ton 
2;Antimuan;Metalik;82698.61;69373.62;193464.48;76518.55;46712.26;69330.1;64974.83;87940;50;35501;55791;83553;131839;43340; Ton 
3;Alüminyum (tüvenan);Metalik;897118.77;639433.35;637997.05;550992.3;611129.63;591474.59;445339.29;940695;265614;821666;723591;464294;1448424;675918; Ton 
4;Boksit (tüvenan);Metalik;3659805.45;2934789.85;3637217.26;2764872.91;2399679.57;2255480.39;678138.44;1719144;989156;518550;561660;449259;540706;501414; Ton 
5;Bakır (tüvenan);Metalik;5451971.68;5918121.57;5218543.32;5485095.73;4277206.05;4021978.47;6601684.69;5742454;5094268;3642130;6422445;7983438;7684052;5687058; Ton 
6;Çinko (tüvenan);Metalik;316885.62;458815.9;479923.54;442421.2;318882.88;234182.63;314529;39537;78006;107824;225568;561261;212656;278549; Ton 
7;Demir (tüvenan);Metalik;20282301.41;16765922.24;17703929.12;16051307.74;21454648.99;14473363.32;15650304.82;9992455;7137233;7760957;11887154;8589362;4969901;6450480; Ton 
8;Gümüş (metal);Metalik;65.85;96.13;143.26;162.67;98.27;241.59;197.32;151.49;376.64;190.55;183.88;189.6;193.89;246.5; Ton 
9;Kadmiyum (Tüvenan);Metalik;0;0;0;0;0;0;0;0;0;0;0;12000;0;0; Ton 
10;Krom (tüvenan);Metalik;9300745.97;8159767.46;8278123.88;6960682.89;6164598.1;8666114.28;10757198.9;7849500;6066022;8301218;10241477;11131311;12431661;9971368; Ton 
11;Kurşun (tüvenan);Metalik;252867.48;386796.29;384865.71;330109.54;276285.48;292784.09;47984.51;92539;76827;33369;202578;600633;300940;348361; Ton 
12;Komplex* Maden;Metalik;8515238.19;7905431.25;6500110.69;5134274.91;3480640.84;2600755.43;3666482.87;4266982;7633095;4022267;3742252;3432125;2232577;2071581; Ton 
13;Manganez (tüvenan);Metalik;67433.95;102051.46;105415.66;86654.02;101765.58;114037.12;85333.93;77895;46867;142809;245830;321785;192756;172480; Ton 
14;Molibden (Tüvenan);Metalik;0;0;0;0;0;0;0;0;0;2670;0;1240;0;2848; Ton 
15;Nikel (tüvenan);Metalik;839939.19;1627271.76;1286313.98;1030670;1787714.66;419659.36;1199943.99;1306800;826285;764346;268545;95187;337530;75018; Ton 
16;Pirit;Metalik;174992.59;88730.2;92863.09;88180.18;103128.27;386068.93;20316.13;69960;135;49491;95220;107972;124000;135190; Ton 
17;Alçıtaşı;Endüstriyel;11589988.44;10336796.02;10679212.35;10620060.65;9280864.36;7489128.74;10896475.83;10223112;10124221;8638715;9051158;9790097;8248446;5723439; Ton 
18;Alünit (Şap);Endüstriyel;0;0;0;0;0;0;0;0;0;0;0;13568;0;0; Ton 
19;Barit;Endüstriyel;260595.09;215946.42;344322.19;256076.33;283160.85;413810.66;465138.27;292447;321239;655943;203984;736316;1677221;250786; Ton 
20;Bentonit;Endüstriyel;2528367.9;2494366.13;2018993.27;2020355.97;1658837.23;1533546.82;1331954.62;1481617;1744912;3134911;1098817;731936;1032325;490458; Ton 
21;Bor;Endüstriyel;5953723.14;4171502.01;5703452.69;9435579.95;6556072;10594629.06;7937460.74;5801459;4814553;5071896;7309708;4065655;4220291;6348487; Ton 
22;Civa;Endüstriyel;0;0;0;0;0;0;0;0;0;0;0;0;0;0; Ton 
23;Çört;Endüstriyel;72720;44651.3;64165.35;115532;265669.45;72269.95;46562.17;218347;211073;288023;11;46562;140294;150000; Ton 
24;Dikit;Endüstriyel;0;0;0;0;0;0;0;0;0;0;0;0;0;0; Ton 
25;Diyatomit;Endüstriyel;101085.41;154444.39;237266.96;207731.55;100327.15;220757.33;242789.04;169584;61722;86656;61884;84571;86403;45187; Ton 
26;Feldispat;Endüstriyel;8983207.29;9478457.71;15781540.21;12936959.13;10050911.14;9447810.41;11474040.11;10273573;9475319;10422766;7960844;13764126;9479699;7076068; Ton 
27;Fluorit;Endüstriyel;38701.21;32406.53;17251.99;10347.74;19896;14399.54;6200;20150;10339;6238;4271;3874;5197;4524; Ton 
28;Fosfat;Endüstriyel;1218190.45;1271355.33;963322.87;957045.21;872894;315214.84;0;0;772500;713230;604000;510080;0;0; Ton 
29;Grafit;Endüstriyel;26369;27974;27715;28336;15205;9990;16752;0;0;0;3850;28740;31500;5250; Ton 
30;İllit;Endüstriyel;0;0;0;0;0;0;0;0;12110;44000;16200;800;4824;17265; Ton 
31;Kalsedon;Endüstriyel;946;972;5414;689;6352;1212.78;2149.31;832;0;1154;1689;2249;2287;896; Ton 
32;Kalsit;Endüstriyel;13580463;13253674.52;10713164.19;11085002.43;8553135.74;6767136.9;9769000.02;9445257;8410582;10071769;11054222;9727092;9248471;10084119; Ton 
33;Kaolen;Endüstriyel;1996713.36;1348022.89;2289367.21;1748013.67;1224745.84;1283776.03;1515608.66;1362799;1283260;1887302;2032103;1168441;988081;1229352; Ton 
34;Kuvars;Endüstriyel;1465036.85;1094978.17;2030230.82;1537191.24;2149968.8;1899150.98;1525247.5;883589;832972;929594;973240;870166;931310;471201; Ton 
35;Kuvars Kumu;Endüstriyel;12181288.24;11772650.45;12595861.05;9700196.59;9770878.19;8395842.97;10034953.98;13472384;10471915;12013933;10258912;7969392;7085380;7020622; Ton 
36;Silis Kumu;Endüstriyel;89021.62;89175.45;0;0;9860.27;2180;80647.56;123730;53515;85870;72491;170778;37875;124834; Ton 
37;Kuvarsit;Endüstriyel;3239390.64;3518136.1;3585861.11;3022210.14;2265215.48;2766346.08;2612115.62;3131222;2674768;2839449;2521107;3087670;2499094;3896477; Ton 
38;Diğer Killer;Endüstriyel;4889793.65;4740813.43;6512150.97;5628972.25;3446309.67;3655349.58;6112238.02;4069458;3677258;7130271;4600107;3055857;3628601;3672837; Ton 
39;Kükürt;Endüstriyel;0;0;0;0;0;0;900;5285;0;823;0;8069;5889;3820; Ton 
40;Leonardit;Endüstriyel;0;0;0;230.04;7042.93;0;1000;1000;1500;1780;2996;5737;0;0; Ton 
41;Manyezit + Hidromanyezit;Endüstriyel;1604180.83;1333727.61;1820067.51;1927280.19;1560818.06;1496080.78;1958846.98;1694071;3258445;3335258;2377157;2597465;2475828;2588276; Ton 
42;Mika;Endüstriyel;9643.74;8714.86;6065.94;1662.58;4139.42;453.66;5732.38;204;3321;637;1240;276;1253;277; Ton 
43;Montmorillonit;Endüstriyel;760107.32;310420.51;665228.12;689405.36;372292.54;457538.65;688567.45;2244245;971318;379102;330329;315880;655974;630306; Ton 
44;Nef Siyenit;Endüstriyel;15505;65500;36100;0;0;0;17975.05;108481;1432;0;2241;404;4000;1500; Ton 
45;Obsidyen;Endüstriyel;0;0;0;0;0;0;0;0;0;0;400;3240;1230;300; Ton 
46;Olivin +Dünit;Endüstriyel;276737.83;258719.55;297690.9;361715.68;269553.76;469544.52;411611.74;177493;304279;184623;244138;126990;244753;221079; Ton 
47;Perlit;Endüstriyel;1358576.64;1174124.94;1319432.37;1428694.53;1146341.17;1174485.68;1088982.87;606231;1066251;843242;897125;1075949;887600;702673; Ton 
48;Pomza;Endüstriyel;12376291.92;9723780;8176775.56;8716213.13;7023811.12;5392044.75;7259375.99;7773957;5637494;5660190;6966987;8644716;12281626;5765583; Ton 
49;Radyolarit;Endüstriyel;51050;94567.06;59048;24573.51;40313.75;42587.7;15552.26;6722;16800;32786;24046;17895;43045;58774; Ton 
50;Rutil (Tüvenan);Endüstriyel;0;0;7225.95;7451.3;6794.85;6450.1;6497.6;6706;5000;5000;5000;5000;5000;241; Ton 
51;Sepiyolit;Endüstriyel;26477.28;74482.75;55100;111900.12;65426.76;68999.3;26300;15624;56038;28804;53110;59426;31180;29506; Ton 
52;Sileks (Çakmaktaşı);Endüstriyel;4375;9506.77;5166.77;3300;2623.83;10965.65;6467.71;6489;7726;6131;596;5051;5403;2248; Ton 
53;Sodyum Sülfat (Soda);Endüstriyel;1064317.43;319511.88;187285.41;240788.95;882978.9;212067.96;970209.39;268815;261159;167688;203184;207315;309088;179740; Ton 
54;Stronsiyum Tuzu;Endüstriyel;6050;49541.04;2046.06;0;4869;9516.41;1100;1000;0;0;0;0;0;0; Ton 
55;Talk;Endüstriyel;19745.89;12570.75;43195.86;33118.43;14178.84;3742.03;18105.33;3882;8559;9681;5048;1132;14537;9959; Ton 
56;Trona;Endüstriyel;17469410.5;17476650.9;17626419.7;17381069.7;14612653.9;4301807.92;12419013;3274416;1976880;1854290;1828167;1665077;1852817;1749068; Ton 
57;Turba;Endüstriyel;38950.7;148454.01;176550.6;115107.38;177160.39;59687.29;112447.1;227779;134091;134647;150828;156357;108610;148012; Ton 
58;Vermikülit;Endüstriyel;12900;10500;21230;3300;19230;1369.73;18182.9;1618;1050;425;716;1604;0;0; Ton 
59;Zeolit;Endüstriyel;57119.2;71673.82;74548;36947.78;46018.5;73354.16;99847.74;63250;71568;55224;49366;33197;60258;214179; Ton 
60;Zımpara +Diyasporit;Endüstriyel;177932.72;248931.84;284075.79;114213.24;48674.19;106539.55;181743.15;107951;89756;75538;38816;43776;54848;113602; Ton 
61;Zirkon (Tüvenan);Endüstriyel;0;0;0;0;0;0;1950;1200;500;1500;1100;0;200;500; Ton 
62;Kaya tuzu;Tuzlar;3648284;3625877.53;3871299.6;3636788.53;3495749.59;3314119.76;2915830;2870499;2732362;2955575;2649270;2421602;2169475;2391203; Ton 
63;Kaynak tuzu;Tuzlar;8267.9;9624.42;12393.2;19760.1;17432.06;14786.06;18952;318756;15801;5661;10957;13397;10601;10612; Ton 
64;Göl tuzu;Tuzlar;4197012.93;4173743.34;4444705.77;3439752.14;3503358.54;2871730.25;2787841;2902109;2015518;2664930;2203132;2658837;2678547;2909645; Ton 
65;Deniz tuzu;Tuzlar;785300;775550;750740;735787;673869;756650;558708;550;558237;6235;4205;509;51665;4675; Ton 
66;Magnezyum Tuzu;Tuzlar;50;2536.76;6572.48;11413.96;7608.95;3728.9;17374;31878;6338;7654;47553;1067;2935;885; Ton 
67;İgnimbirit;Doğal Taş;84862.98;80381.52;75132.66;67048.08;53632.59;41124;87429;135248;106115;98763;86927;79326;38543;150857; Ton 
68;Mermer;Doğal Taş;10284958.19;12628939.3;13179294.49;13064115.48;10749743.69;10493042;13939289;14285557;14277006;15156275;11395523;11489972;12120157;11032799; Ton 
69;Oniks;Doğal Taş;15342.64;17538.54;41302.13;36668.67;36594.95;35817;42686;169112;19378;18644;28858;42296;36005;20731; Ton 
70;Traverten;Doğal Taş;2689211.82;2916542;3565853.21;3562588.42;2582423.5;2248230;2440658;2221628;2959502;3346296;2194668;1926982;2154371;4549632; Ton 
71;Andezit;Doğal Taş;285196.01;295958.16;203851.04;178375.36;164730.42;168344;697876;680904;459408;512246;58758;501314;344767;763051; Ton 
72;Bazalt;Doğal Taş;428593.03;357987.46;284873.08;248276.75;277096.1;276493;239736;770208;72169;491552;32997;242125;280547;46372; Ton 
73;Granit;Doğal Taş;326898.73;355068.29;478368.68;530213.9;493524.72;350929;31266;278884;314059;157463;189364;183535;56665;245911; Ton 
74;Dekoratif taş + Mozaik + Kayrak vd;Doğal Taş;130309.21;186209.77;221001.41;526997.89;269099.85;132267;232067;147586;53757;793251;957298;529708;289057;198754; Ton 
75;Serpantin (II-A);Doğal Taş;8400;0;5500;18900;61800;218;189265;59258;0;0;350;0;846;0; Ton 
76;Yapıtaşı;Doğal Taş;1825;7159.83;93945.27;7339.09;5191.8;5655;4612;12983;8579;68302;33553;37945;65756;27027; Ton 
77;Diyabaz;Doğal Taş;4973;2994.06;9927.68;10058.87;10052.86;2018;23147;35821;14378;14997;7238;103;9001;5654; Ton 
78;Gabro;Doğal Taş;0;215;0;98;0;0;18345;26889;1774;975;1431;1081;0;0; Ton 
79;Kalker;Çimento ve İnşaat Hammadde;522726352.62;491323687.06;454462331.86;453916779.11;384649122.17;342111703;557028858.61;478729678;459247422;407702391;382403768;392352389;365348082;345014384; Ton 
80;Kumtaşı;Çimento ve İnşaat Hammadde;19474217.1;17166212.72;16610536.48;15590523.98;13584393.97;14770103;33613027.15;17897042;20550068;14456193;9609882;10453003;6356666;6127433; Ton 
81;Dolomit;Çimento ve İnşaat Hammadde;18356308.61;16386834.86;13467165.13;16627978.15;13473782.49;13593324;26197906.77;19816906;17669892;21609434;15743710;17291454;16950670;20340135; Ton 
82;Marn;Çimento ve İnşaat Hammadde;12071824.42;12166374.85;14475394.3;15849463.87;13368365.36;11879258;13914610.27;12501960;14006393;12308105;10930672;16604121;13396844;11962392; Ton 
83;Pirofillit;Çimento ve İnşaat Hammadde;284308.82;220356.66;0;187231.54;129290.63;88335;266111.35;470600;194655;172681;109366;101872;85251;115462; Ton 
84;Tras;Çimento ve İnşaat Hammadde;1571460.25;1828022.83;1610107.63;405226.24;1309796.67;1377789;1705267.76;1669286;2505329;2111255;2848213;2868145;1660021;2400683; Ton 
85;Şist;Çimento ve İnşaat Hammadde;514224.77;523218.85;494722;455547.4;523705.35;52136;682812.8;759538;838112;531513;787106;715844;725178;804968; Ton 
86;Diğer Çimento Ham maddeleri;Çimento ve İnşaat Hammadde;2513970.52;2730884.91;2135217.17;3254718.03;3886299.8;2265229;2964427.29;2888445;2497603;2196635;3540234;2533230;2480421;2772738; Ton 
87;Bazalt (mıcır);Çimento ve İnşaat Hammadde;19462088.75;18019996.32;19293889.84;25332056;22532826.01;17040720;24944744.6;20114197;24161479;22569365;22557539;21628283;23773180;18397118; Ton 
88;Andezit (mıcır);Çimento ve İnşaat Hammadde;1958798.02;1990543.31;2036493.42;1758798.61;1866293.36;1572261;3117668.86;2496752;4989055;4740066;5922970;2752553;2437685;1996584; Ton 
89;Breş + Gnays + Konglomera vb Amfibolit Diğer İnşaat Dolgu Maddeleri;Çimento ve İnşaat Hammadde;4425724.8;3621921.69;2770105.41;3382707.97;3647829.02;1234124;1479195.05;1400276;496178;970575;735960;1801803;406004;876948; Ton 
90;Tuğla Kiremit Kili;Çimento ve İnşaat Hammadde;5655198.39;5867596.99;6087379.51;6622871.59;5684305.52;5049640;9124370.08;8078710;9214698;9280444;11135481;9577186;18550195;11031258; Ton 
91;Diğer Killer;Çimento ve İnşaat Hammadde;15993124.74;16307130.31;13112604.28;17113681.23;14990664.15;11250156;15184330.42;13299489;12529372;16034995;12119752;10728636;11807707;10728636; Ton 